idade,estado_civil,nivel_educacao,num_dependentes,tipo_emprego,anos_emprego,renda_mensal,regiao,possui_imovel,possui_veiculo,valor_emprestimo,finalidade_emprestimo,score_credito,divida_total,inadimplencias,num_emprestimos_anteriores,historico_pagamento,tempo_conta_bancaria,num_contas_bancarias,num_cartoes_credito,aprovado
37,Divorciado,Pos-Graduacao,1,Empresario,1,3181,Nordeste,1,1,100120,Educacao,522,5139,0,1,Bom,6,2,1,1
45,Divorciado,Superior,5,Autonomo,4,2906,Nordeste,0,0,10982,Pessoal,499,11091,0,3,Excelente,12,1,2,1
64,Casado,Medio,3,Servidor_Publico,1,3737,Sudeste,0,0,87406,Educacao,805,26536,0,1,Pessimo,4,1,0,1
24,Divorciado,Fundamental,4,CLT,2,10621,Norte,0,1,20648,Pessoal,529,1062,2,0,Bom,6,1,1,1
61,Solteiro,Pos-Graduacao,1,Servidor_Publico,9,9194,Nordeste,0,1,15946,Pessoal,719,9192,1,1,Regular,1,2,2,1
25,Solteiro,Superior,2,CLT,1,4852,Nordeste,0,1,36572,Pessoal,584,8581,3,1,Regular,10,3,1,0
64,Casado,Medio,1,Empresario,0,9062,Sudeste,1,0,28069,Casa,674,36187,0,1,Bom,8,2,1,1
52,Casado,Superior,0,CLT,0,1186,Sudeste,1,1,22971,Casa,619,18555,0,3,Regular,13,4,4,0
31,Divorciado,Fundamental,1,Autonomo,14,7902,Nordeste,0,1,32077,Saude,440,18383,0,2,Excelente,7,3,1,1
34,Casado,Medio,2,Autonomo,3,2511,Sudeste,0,1,27715,Pessoal,622,5198,0,4,Pessimo,12,2,1,1
53,Viuvo,Superior,0,Autonomo,2,14188,Norte,1,1,22641,Educacao,680,15828,0,1,Regular,1,3,1,1
67,Divorciado,Medio,3,CLT,8,2595,Nordeste,1,1,56870,Veiculo,524,4988,1,0,Excelente,10,3,5,1
57,Solteiro,Medio,0,Autonomo,9,2946,Norte,0,1,8454,Pessoal,850,7268,0,0,Regular,18,2,1,1
21,Casado,Superior,1,CLT,2,6887,Centro-Oeste,0,0,12942,Negocio,701,14384,0,4,Excelente,10,2,1,1
19,Viuvo,Pos-Graduacao,0,Empresario,5,7298,Sul,0,1,14320,Pessoal,702,8825,0,0,Ruim,5,1,4,1
23,Casado,Superior,1,CLT,7,3760,Sudeste,0,1,11540,Casa,712,11117,0,0,Pessimo,15,2,1,1
71,Casado,Medio,0,Empresario,5,6141,Centro-Oeste,0,1,28817,Veiculo,386,30123,1,0,Pessimo,0,2,4,0
59,Solteiro,Superior,0,Servidor_Publico,0,6615,Norte,1,0,40309,Saude,690,5625,1,1,Bom,0,4,2,1
21,Casado,Superior,1,CLT,10,6222,Sul,1,0,5596,Negocio,847,2870,0,1,Ruim,20,1,1,1
71,Casado,Superior,1,CLT,3,3855,Sul,0,1,18411,Veiculo,695,3272,1,0,Bom,6,3,1,1
46,Solteiro,Medio,1,Desempregado,1,6655,Sudeste,1,1,20799,Veiculo,593,2632,0,1,Excelente,0,1,3,1
35,Divorciado,Fundamental,0,CLT,2,11428,Centro-Oeste,0,0,21403,Educacao,508,40434,0,1,Ruim,2,5,0,1
43,Divorciado,Superior,1,Servidor_Publico,0,2355,Sudeste,0,1,9623,Educacao,498,15587,0,3,Regular,8,2,3,1
61,Divorciado,Fundamental,1,CLT,0,2968,Sul,0,1,20938,Pessoal,486,23636,1,3,Pessimo,8,2,1,0
51,Divorciado,Medio,1,Empresario,7,4995,Sudeste,0,0,12979,Pessoal,579,19757,0,2,Pessimo,1,1,3,1
27,Solteiro,Medio,3,Servidor_Publico,0,2607,Norte,1,1,20588,Casa,513,6644,0,1,Bom,3,1,0,1
53,Casado,Medio,1,Desempregado,2,1665,Sudeste,0,1,6797,Veiculo,604,41352,0,0,Bom,9,3,1,0
31,Solteiro,Medio,1,Empresario,3,9469,Sul,1,0,20701,Pessoal,640,4060,0,3,Bom,20,2,1,1
48,Divorciado,Pos-Graduacao,4,Autonomo,0,1290,Sul,1,0,15135,Veiculo,448,60619,1,1,Regular,5,4,4,0
65,Viuvo,Superior,3,CLT,18,3860,Nordeste,0,0,21807,Veiculo,543,9170,2,1,Excelente,6,2,1,1
32,Solteiro,Medio,5,CLT,1,7749,Sudeste,1,1,34222,Negocio,562,48469,1,4,Regular,3,1,3,1
25,Casado,Pos-Graduacao,2,CLT,1,5767,Sudeste,1,1,25957,Saude,559,2838,3,6,Excelente,4,3,0,1
31,Solteiro,Superior,1,CLT,1,3895,Sul,1,1,50752,Negocio,621,5263,1,4,Regular,0,4,1,1
40,Casado,Medio,0,Autonomo,1,2544,Sudeste,0,1,20158,Casa,632,1631,0,7,Excelente,2,5,1,1
74,Casado,Superior,2,Empresario,0,6040,Centro-Oeste,0,1,44139,Saude,577,22976,0,4,Regular,4,3,2,1
57,Divorciado,Medio,5,CLT,6,2716,Sul,1,0,66170,Negocio,552,10438,0,2,Bom,1,1,1,1
38,Solteiro,Medio,2,CLT,17,5764,Nordeste,0,0,33490,Educacao,617,60877,0,0,Regular,2,2,4,1
33,Solteiro,Superior,4,Autonomo,1,5348,Norte,0,0,26459,Casa,764,4994,0,5,Pessimo,21,2,2,1
62,Solteiro,Superior,1,Empresario,5,5380,Nordeste,1,1,37477,Casa,474,30855,1,4,Bom,0,2,3,1
35,Solteiro,Medio,1,CLT,6,3346,Sudeste,0,1,34450,Saude,733,8777,0,0,Ruim,2,1,1,1
64,Casado,Medio,4,CLT,9,16663,Sudeste,1,1,59933,Casa,456,7377,1,1,Regular,5,1,4,1
70,Solteiro,Medio,3,CLT,2,6093,Centro-Oeste,1,0,50768,Veiculo,656,6066,0,0,Ruim,1,2,2,1
41,Casado,Pos-Graduacao,5,CLT,1,4157,Sudeste,1,1,51259,Educacao,724,3480,0,5,Bom,6,3,2,1
43,Casado,Medio,3,Servidor_Publico,1,5759,Sul,1,0,27867,Saude,487,11781,0,2,Excelente,2,1,2,1
42,Casado,Superior,1,Servidor_Publico,6,3088,Sudeste,0,1,35347,Veiculo,655,10010,0,0,Pessimo,6,1,4,1
62,Divorciado,Medio,1,Empresario,8,3897,Sudeste,1,0,34822,Educacao,515,1681,0,0,Bom,11,3,1,1
58,Divorciado,Fundamental,4,Empresario,1,20643,Sudeste,1,1,10240,Veiculo,737,657,0,6,Bom,6,3,1,1
46,Solteiro,Pos-Graduacao,2,Empresario,2,3101,Sudeste,0,1,63267,Casa,459,5925,0,2,Pessimo,0,2,1,0
32,Solteiro,Fundamental,0,Autonomo,11,4690,Sudeste,0,1,7076,Pessoal,530,25899,0,1,Bom,9,1,5,1
62,Divorciado,Superior,1,CLT,8,3738,Nordeste,1,0,47560,Negocio,633,10117,1,1,Regular,1,2,1,1
18,Casado,Superior,1,CLT,20,2633,Norte,0,1,33309,Pessoal,691,2202,0,0,Ruim,6,3,4,1
42,Casado,Superior,0,Autonomo,7,6327,Sudeste,0,1,21430,Casa,629,1374,1,0,Ruim,6,1,0,1
24,Divorciado,Superior,2,Empresario,2,5023,Nordeste,0,0,36788,Saude,669,25714,0,2,Excelente,9,1,1,1
26,Solteiro,Superior,0,Autonomo,4,8489,Nordeste,0,1,37603,Veiculo,565,1551,0,1,Bom,4,3,2,1
41,Casado,Medio,1,Desempregado,5,7993,Norte,0,1,9449,Veiculo,510,17315,2,1,Ruim,2,2,5,0
18,Casado,Pos-Graduacao,3,CLT,0,8437,Norte,1,0,83524,Casa,766,14314,1,2,Regular,4,3,2,1
61,Divorciado,Pos-Graduacao,1,CLT,3,2832,Sudeste,1,0,28501,Pessoal,669,41550,1,0,Regular,4,3,0,0
25,Divorciado,Medio,3,Servidor_Publico,6,7219,Nordeste,1,0,171405,Pessoal,571,4319,0,5,Bom,10,1,3,1
41,Casado,Medio,1,Empresario,0,7325,Sudeste,0,1,50605,Educacao,454,20729,0,0,Ruim,1,1,2,1
28,Divorciado,Medio,5,Autonomo,7,2663,Norte,0,0,27987,Pessoal,742,32855,1,0,Bom,11,1,1,1
68,Solteiro,Medio,0,CLT,4,4059,Sudeste,0,0,15490,Veiculo,746,2127,0,0,Bom,2,1,2,1
34,Casado,Fundamental,0,CLT,15,2051,Sudeste,0,1,24620,Saude,598,9256,2,0,Pessimo,8,1,4,0
25,Solteiro,Medio,4,CLT,0,7344,Sudeste,1,0,30329,Negocio,553,7782,0,0,Bom,2,5,0,1
52,Solteiro,Superior,3,Autonomo,1,7324,Sudeste,0,0,86885,Saude,594,2796,0,1,Pessimo,7,1,5,0
52,Casado,Superior,0,CLT,4,11593,Norte,0,0,71777,Casa,598,10554,0,2,Pessimo,9,1,1,1
50,Solteiro,Pos-Graduacao,5,Autonomo,1,4284,Nordeste,1,1,38607,Veiculo,696,2517,1,0,Ruim,4,1,2,1
22,Casado,Superior,1,Autonomo,6,6443,Sudeste,0,0,110785,Pessoal,506,11874,0,1,Regular,5,1,1,1
59,Casado,Medio,5,Autonomo,7,8889,Centro-Oeste,1,0,5361,Pessoal,561,71236,2,5,Excelente,7,1,3,1
56,Solteiro,Medio,1,Autonomo,0,3126,Norte,0,0,38957,Veiculo,601,6606,0,0,Regular,6,1,2,1
58,Casado,Superior,1,Servidor_Publico,3,2853,Sul,0,0,73461,Saude,645,7369,1,3,Ruim,7,2,1,1
45,Casado,Pos-Graduacao,1,CLT,3,3185,Nordeste,1,1,41687,Veiculo,706,33406,0,0,Ruim,11,2,2,1
24,Casado,Superior,1,CLT,2,3985,Sudeste,0,1,9262,Veiculo,651,28552,1,0,Bom,1,1,1,1
26,Divorciado,Superior,1,CLT,13,2915,Nordeste,0,1,81760,Casa,795,4369,0,1,Regular,1,2,1,1
25,Casado,Superior,1,CLT,8,3268,Nordeste,0,1,49467,Educacao,520,16126,1,0,Regular,21,1,2,1
29,Viuvo,Superior,0,CLT,5,8337,Sul,0,0,35397,Negocio,766,422,0,4,Regular,11,2,2,1
51,Solteiro,Medio,0,CLT,6,4638,Nordeste,1,0,28873,Pessoal,524,2968,0,0,Ruim,5,1,0,1
50,Casado,Medio,0,CLT,3,5907,Centro-Oeste,1,0,132582,Saude,580,23620,0,2,Regular,0,2,4,1
65,Viuvo,Superior,3,Servidor_Publico,12,3531,Nordeste,0,1,38392,Negocio,658,4864,1,2,Excelente,11,2,0,1
72,Solteiro,Medio,2,Desempregado,5,3395,Sul,0,1,22169,Veiculo,737,6632,0,0,Excelente,8,1,1,1
40,Solteiro,Superior,3,Desempregado,6,5833,Nordeste,1,0,14057,Veiculo,580,3215,0,2,Excelente,18,1,1,1
41,Casado,Medio,5,Empresario,9,5300,Centro-Oeste,0,0,49316,Educacao,659,2738,0,1,Excelente,0,1,0,1
54,Divorciado,Fundamental,2,Servidor_Publico,1,7838,Sudeste,1,0,59218,Saude,588,667,0,2,Bom,0,2,0,1
52,Casado,Superior,5,Desempregado,8,10731,Sudeste,1,1,28147,Casa,390,5635,1,3,Bom,4,3,3,0
61,Divorciado,Superior,1,Servidor_Publico,1,3245,Norte,0,1,17219,Casa,616,12908,0,1,Excelente,11,4,1,1
57,Solteiro,Medio,0,Autonomo,2,8239,Sudeste,0,1,77967,Negocio,495,10371,0,1,Excelente,28,2,1,1
39,Divorciado,Pos-Graduacao,1,Autonomo,2,2571,Nordeste,1,1,13227,Casa,747,3526,0,0,Bom,2,4,2,1
44,Solteiro,Medio,1,CLT,19,17056,Sudeste,0,0,130034,Educacao,747,1941,0,0,Pessimo,0,4,3,1
52,Casado,Superior,4,CLT,9,3066,Nordeste,0,1,14948,Pessoal,536,5575,0,0,Pessimo,1,3,3,1
18,Casado,Pos-Graduacao,2,CLT,6,7438,Sul,1,0,9675,Pessoal,521,2145,0,6,Excelente,12,2,2,1
52,Casado,Medio,0,Autonomo,6,2559,Nordeste,0,0,10718,Casa,557,3760,0,1,Ruim,3,3,3,1
54,Casado,Pos-Graduacao,2,Servidor_Publico,4,4486,Nordeste,1,1,11072,Casa,673,9219,0,0,Regular,11,2,4,1
64,Casado,Superior,1,Empresario,14,12424,Sul,0,0,22263,Casa,673,3389,1,0,Regular,3,2,0,1
31,Divorciado,Medio,0,Desempregado,3,3009,Norte,1,1,18498,Casa,850,29328,0,0,Regular,0,3,2,0
20,Divorciado,Superior,2,CLT,2,18444,Sudeste,1,1,61066,Veiculo,589,2847,2,0,Pessimo,5,4,4,0
18,Casado,Pos-Graduacao,4,Desempregado,0,4899,Sudeste,1,1,54483,Veiculo,629,4425,0,1,Regular,3,2,5,0
22,Solteiro,Superior,3,Servidor_Publico,7,8825,Sul,1,0,22498,Casa,813,18953,1,0,Bom,4,1,0,1
43,Divorciado,Superior,2,CLT,6,6258,Sudeste,1,1,322129,Educacao,648,16162,0,0,Ruim,17,1,4,1
72,Divorciado,Medio,1,Autonomo,2,6465,Nordeste,1,1,22260,Saude,511,13583,0,2,Regular,3,1,3,1
31,Casado,Medio,0,CLT,0,2088,Sudeste,0,1,24765,Negocio,654,4281,1,4,Excelente,9,2,3,1
56,Casado,Superior,1,CLT,9,3700,Sul,1,1,9682,Educacao,690,14532,1,1,Regular,0,1,0,1
44,Casado,Superior,3,Autonomo,0,10072,Sudeste,0,1,25224,Veiculo,585,17891,0,3,Regular,3,3,2,1
26,Solteiro,Pos-Graduacao,1,Autonomo,6,3997,Nordeste,0,1,34129,Negocio,699,12603,0,0,Bom,5,2,1,1
32,Casado,Medio,0,CLT,17,5341,Sudeste,0,1,10431,Pessoal,690,7845,0,3,Pessimo,0,2,2,1
32,Casado,Medio,4,Desempregado,2,1942,Sul,1,0,18052,Educacao,574,14430,2,0,Ruim,2,1,3,0
43,Divorciado,Medio,3,Autonomo,1,3559,Centro-Oeste,0,1,34947,Veiculo,775,7511,1,3,Regular,8,2,1,1
59,Divorciado,Fundamental,2,CLT,6,9641,Nordeste,1,0,17678,Negocio,541,12135,0,4,Excelente,1,3,1,1
30,Solteiro,Fundamental,0,Servidor_Publico,8,2276,Nordeste,0,1,14953,Pessoal,663,8730,1,3,Regular,0,3,1,1
68,Casado,Superior,0,Autonomo,3,7557,Centro-Oeste,1,0,50297,Pessoal,559,1788,0,3,Bom,2,5,2,1
49,Solteiro,Medio,0,Autonomo,17,5467,Sudeste,0,1,9646,Veiculo,450,4520,1,2,Ruim,11,1,2,1
56,Casado,Pos-Graduacao,2,Empresario,0,4265,Norte,1,0,11267,Veiculo,655,64890,0,0,Bom,8,1,2,1
66,Solteiro,Superior,0,CLT,3,4154,Nordeste,1,1,31004,Pessoal,812,1167,0,2,Regular,8,2,3,1
69,Casado,Pos-Graduacao,3,Autonomo,6,3660,Nordeste,1,0,52940,Veiculo,614,38262,0,1,Regular,2,4,3,1
49,Casado,Medio,5,Servidor_Publico,9,3861,Sudeste,1,0,34352,Veiculo,470,15146,3,0,Regular,0,1,2,0
21,Divorciado,Superior,1,Servidor_Publico,0,8585,Sudeste,1,1,22491,Negocio,642,8385,1,1,Excelente,0,3,2,1
47,Solteiro,Superior,1,CLT,8,3792,Sudeste,0,1,21071,Saude,538,1509,1,2,Regular,5,1,3,1
54,Solteiro,Pos-Graduacao,2,Servidor_Publico,4,14538,Norte,1,1,60376,Pessoal,725,8093,0,0,Regular,7,2,4,1
40,Solteiro,Superior,4,Desempregado,2,5882,Norte,0,1,53487,Negocio,597,3841,0,2,Pessimo,2,4,3,0
56,Casado,Superior,4,Servidor_Publico,0,3478,Sul,0,1,27997,Educacao,442,26608,0,2,Regular,4,2,2,0
62,Solteiro,Superior,0,Empresario,10,8813,Sul,1,1,21545,Casa,670,4160,1,0,Regular,1,3,2,1
32,Solteiro,Medio,0,CLT,0,7146,Nordeste,0,0,27673,Pessoal,640,6149,2,1,Regular,2,2,3,1
60,Viuvo,Superior,3,CLT,1,1821,Sul,0,1,15036,Educacao,590,10364,0,6,Bom,7,3,2,1
46,Casado,Pos-Graduacao,2,CLT,1,2642,Centro-Oeste,0,0,23857,Saude,516,4253,1,4,Bom,7,1,1,1
53,Casado,Fundamental,0,Servidor_Publico,10,4585,Sudeste,0,1,18185,Saude,798,21132,1,1,Ruim,0,4,4,1
30,Solteiro,Superior,1,Desempregado,5,1900,Norte,0,1,24817,Negocio,574,6027,0,1,Regular,17,2,2,0
49,Casado,Superior,3,Empresario,7,17228,Sul,0,1,18714,Negocio,709,1235,0,0,Ruim,1,1,5,1
24,Casado,Pos-Graduacao,0,CLT,1,8049,Centro-Oeste,0,1,40911,Veiculo,573,9421,0,0,Pessimo,14,1,2,1
68,Casado,Fundamental,4,Autonomo,4,4875,Centro-Oeste,1,1,51778,Saude,688,18167,1,0,Bom,4,1,1,1
39,Casado,Fundamental,0,Desempregado,4,4001,Nordeste,0,1,19855,Pessoal,625,34133,2,5,Excelente,4,2,1,0
45,Viuvo,Fundamental,3,CLT,8,3429,Sudeste,1,1,14051,Negocio,622,14082,2,5,Bom,3,1,1,1
19,Solteiro,Medio,2,Autonomo,11,1512,Norte,1,1,47538,Pessoal,537,25671,1,3,Excelente,15,1,1,1
59,Casado,Superior,1,Empresario,0,1737,Sudeste,0,0,31188,Pessoal,672,13236,0,1,Ruim,1,2,4,1
62,Casado,Fundamental,2,Empresario,5,15377,Nordeste,0,0,20062,Educacao,760,3104,1,0,Excelente,5,5,2,1
74,Casado,Superior,3,CLT,0,12634,Sudeste,0,0,80857,Pessoal,516,3709,2,2,Ruim,2,2,3,0
70,Solteiro,Pos-Graduacao,4,CLT,3,3479,Norte,1,1,17119,Educacao,536,813,1,2,Bom,14,2,1,1
23,Casado,Fundamental,1,Autonomo,1,8474,Sul,1,0,5462,Veiculo,850,6523,0,1,Bom,1,1,0,1
45,Solteiro,Fundamental,2,Desempregado,1,6659,Sudeste,1,1,15269,Negocio,519,15565,2,2,Regular,6,1,1,0
45,Casado,Pos-Graduacao,2,Autonomo,2,7147,Sul,1,1,98194,Veiculo,564,1672,1,2,Regular,3,1,4,1
61,Casado,Superior,1,Autonomo,4,2089,Sul,1,1,20865,Casa,758,29553,2,3,Ruim,6,3,0,0
61,Casado,Fundamental,4,Empresario,2,1660,Sudeste,1,1,17812,Veiculo,761,7311,2,1,Bom,1,5,3,1
37,Casado,Medio,0,Autonomo,6,9992,Sudeste,1,0,27481,Casa,377,3306,0,3,Pessimo,3,3,0,1
47,Solteiro,Pos-Graduacao,0,Servidor_Publico,2,1498,Sudeste,1,1,60406,Pessoal,696,1664,2,0,Bom,0,1,1,1
28,Casado,Medio,1,CLT,0,4496,Sudeste,1,1,25176,Negocio,600,42661,0,2,Ruim,20,2,3,1
72,Solteiro,Superior,0,CLT,7,3941,Sudeste,0,1,43177,Negocio,605,26425,0,0,Excelente,1,2,1,1
45,Solteiro,Medio,4,CLT,1,3729,Sudeste,1,1,23123,Pessoal,736,5413,1,0,Ruim,29,4,0,1
42,Divorciado,Medio,2,CLT,2,5935,Nordeste,1,0,43450,Casa,585,20516,0,0,Regular,3,3,1,1
56,Divorciado,Pos-Graduacao,1,Empresario,5,3272,Nordeste,0,0,31076,Casa,568,6571,0,0,Regular,0,3,3,1
50,Casado,Fundamental,3,CLT,2,6231,Sudeste,0,1,19567,Pessoal,587,4427,3,7,Bom,0,2,2,0
18,Casado,Medio,1,CLT,0,5349,Norte,1,1,33073,Negocio,585,4216,0,1,Regular,5,2,2,1
74,Divorciado,Medio,2,Autonomo,2,17313,Norte,0,0,17430,Saude,654,6424,2,5,Pessimo,5,3,1,0
44,Solteiro,Superior,0,Autonomo,14,2140,Sul,1,1,8932,Negocio,752,5439,0,0,Bom,4,2,0,1
74,Casado,Fundamental,1,Autonomo,5,5001,Centro-Oeste,0,0,26478,Veiculo,662,8616,0,0,Excelente,0,3,1,1
69,Solteiro,Medio,0,Autonomo,5,6366,Nordeste,1,1,9590,Saude,618,40471,0,2,Ruim,2,1,1,1
30,Divorciado,Medio,2,CLT,5,4213,Centro-Oeste,0,1,43388,Educacao,674,79089,1,1,Regular,2,4,3,0
